mes,data,ipca_var_pct,indice_ipca,fator_para_base,base_do_indice
202006,2020-06-01,0.26,131.17379877546804,1.4168762672217807,202603
202007,2020-07-01,0.36,131.64602445105973,1.4117938095075535,202603
202008,2020-08-01,0.24,131.96197490974225,1.4084136168271686,202603
202009,2020-09-01,0.64,132.80653154916462,1.39945709144194,202603
202010,2020-10-01,0.86,133.94866772048744,1.387524381758814,202603
202011,2020-11-01,0.89,135.14081086319976,1.3752843510346062,202603
202012,2020-12-01,1.35,136.96521180985297,1.3569653192250677,202603
202101,2021-01-01,0.25,137.30762483937758,1.3535813658105416,202603
202102,2021-02-01,0.86,138.48847041299624,1.3420398233299042,202603
202103,2021-03-01,0.93,139.7764131878371,1.3296738564647819,202603
202104,2021-04-01,0.31,140.2097200687194,1.3255646061856063,202603
202105,2021-05-01,0.83,141.37346074528978,1.3146529863984988,202603
202106,2021-06-01,0.53,142.1227400872398,1.3077220594832377,202603
202107,2021-07-01,0.96,143.48711839207732,1.2952873013898947,202603
202108,2021-08-01,0.87,144.7354563220884,1.284115496569738,202603
202109,2021-09-01,1.16,146.41438761542463,1.2693905660040903,202603
202110,2021-10-01,1.25,148.24456746061742,1.2537190775349043,202603
202111,2021-11-01,0.95,149.65289085149328,1.241920829653199,202603
202112,2021-12-01,0.73,150.74535695470922,1.2329205099307043,202603
202201,2022-01-01,0.54,151.55938188226466,1.2262984980412814,202603
202202,2022-02-01,1.01,153.0901316392755,1.2140367270975958,202603
202203,2022-03-01,1.62,155.5701917718318,1.194682864689624,202603
202204,2022-04-01,1.06,157.2192358046132,1.182152052928581,202603
202205,2022-05-01,0.47,157.95816621289487,1.1766219298582472,202603
202206,2022-06-01,0.67,159.01648592652126,1.168791029957532,202603
202207,2022-07-01,-0.68,157.9351738222209,1.1767932238799155,202603
202208,2022-08-01,-0.36,157.3666071964609,1.1810449858288994,202603
202209,2022-09-01,-0.29,156.91024403559115,1.1844799777644164,202603
202210,2022-10-01,0.59,157.83601447540116,1.1775325358031774,202603
202211,2022-11-01,0.41,158.48314213475027,1.1727243659029756,202603
202212,2022-12-01,0.62,159.46573761598572,1.1654982765881292,202603
202301,2023-01-01,0.53,160.31090602535045,1.1593537019677003,202603
202302,2023-02-01,0.84,161.6575176359634,1.1496962534388142,202603
202303,2023-03-01,0.71,162.80528601117874,1.1415909576395733,202603
202304,2023-04-01,0.61,163.79839825584693,1.1346694738490937,202603
202305,2023-05-01,0.23,164.17513457183537,1.132065722686914,202603
202306,2023-06-01,-0.08,164.0437944641779,1.1329721003672077,202603
202307,2023-07-01,0.12,164.2406470175349,1.1316141633711623,202603
202308,2023-08-01,0.23,164.61840050567525,1.1290174232975778,202603
202309,2023-09-01,0.26,165.04640834698998,1.1260895903626351,202603
202310,2023-10-01,0.24,165.44251972702276,1.1233934460920143,202603
202311,2023-11-01,0.28,165.9057587822584,1.1202567272556985,202603
202312,2023-12-01,0.56,166.83483103143905,1.1140182251946087,202603
202401,2024-01-01,0.42,167.5355373217711,1.1093589177401002,202603
202402,2024-02-01,0.83,168.92608228154177,1.100227033363186,202603
202403,2024-03-01,0.16,169.19636401319224,1.0984694821916792,202603
202404,2024-04-01,0.38,169.8393101964424,1.0943111000116348,202603
202405,2024-05-01,0.46,170.620571023346,1.089300318546322,202603
202406,2024-06-01,0.21,170.97887422249502,1.0870175816249097,202603
202407,2024-07-01,0.38,171.6285939445405,1.0829025519275848,202603
202408,2024-08-01,-0.02,171.59426822575162,1.0831191757627372,202603
202409,2024-09-01,0.44,172.34928300594493,1.0783743287163852,202603
202410,2024-10-01,0.56,173.31443899077823,1.0723690619693567,202603
202411,2024-11-01,0.39,173.99036530284226,1.068203069996371,202603
202412,2024-12-01,0.52,174.89511520241706,1.0626771488224938,202603
202501,2025-01-01,0.16,175.17494738674094,1.0609795814921064,202603
202502,2025-02-01,1.31,177.46973919750727,1.0472604693437038,202603
202503,2025-03-01,0.56,178.46356973701333,1.0414284699121952,202603
202504,2025-04-01,0.43,179.23096308688247,1.0369695010576474,202603
202505,2025-05-01,0.26,179.69696359090835,1.034280372090213,202603
202506,2025-06-01,0.24,180.12823630352653,1.0318040423884807,202603
202507,2025-07-01,0.26,180.59656971791568,1.029128308785638,202603
202508,2025-08-01,-0.11,180.39791349122598,1.030261596541834,202603
202509,2025-09-01,0.48,181.26382347598386,1.0253399647112202,202603
202510,2025-10-01,0.09,181.4269609171122,1.024417988521551,202603
202511,2025-11-01,0.18,181.75352944676303,1.0225773492928238,202603
202512,2025-12-01,0.33,182.35331609393734,1.01921394328,202603
202601,2026-01-01,0.33,182.95508203704736,1.0158615999999998,202603
202602,2026-02-01,0.7,184.23576761130667,1.0088,202603
202603,2026-03-01,0.88,185.85704236628615,1.0,202603
202604,2026-04-01,0.67,187.10228455014027,0.9933445912387007,202603
202605,2026-05-01,0.58,188.1874778005311,0.9876164160257512,202603
202606,2026-06-01,0.16,188.48857776501197,0.9860387540193203,202603
202607,2026-07-01,0.07,188.62051976944744,0.9853490097125217,202603
